,iprofile,bodemcode,areaal,ihoofd,isoil1,iz1,isoil2,iz2,isoil3,iz3,isoil4,iz4,isoil5,iz5,isoil6,iz6,isoil7,iz7,isoil8,iz8,isoil9,iz9
84,4031,Hn21t,8426.538211,3,2,20,20,40,20,50,20,100,32,120,0,99999,0,99999,0,99999,0,99999
85,4040,kHn21,10090.23066,3,8,20,27,35,20,45,19,70,19,120,0,99999,0,99999,0,99999,0,99999
86,4041,kHn21x,1395.100253,3,8,20,27,35,20,45,19,70,19,100,24,120,0,99999,0,99999,0,99999
87,4045,kHn21,2207.333559,3,8,20,27,35,20,45,19,70,19,120,0,99999,0,99999,0,99999,0,99999
88,9014050,Hn23,10606.24424,3,3,25,21,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
89,9034050,Hn23,5907.645086,3,3,8,21,25,21,40,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
90,9024050,Hn23,49912.38748,3,3,20,21,40,21,55,20,120,0,99999,0,99999,0,99999,0,99999,0,99999
91,4060,Hn23g,3349.806947,3,3,20,21,40,21,55,20,110,23,120,0,99999,0,99999,0,99999,0,99999
92,4070,Hn23x,53361.8041,3,3,20,21,40,21,50,20,90,24,120,0,99999,0,99999,0,99999,0,99999
93,4071,Hn23t,6687.258877,3,3,20,21,40,21,50,20,90,32,120,0,99999,0,99999,0,99999,0,99999
94,9024080,Hn30,3149.061105,3,5,8,23,22,23,30,23,40,23,120,0,99999,0,99999,0,99999,0,99999
95,9014080,Hn30,6892.978052,3,5,20,23,45,23,120,0,99999,0,99999,0,99999,0,99999,0,99999,0,99999
96,9014090,cHn21,6185.33902,3,2,25,2,40,19,60,19,75,19,120,0,99999,0,99999,0,99999,0,99999
97,9024090,cHn21,47571.53486,3,2,25,2,40,19,60,19,75,19,120,0,99999,0,99999,0,99999,0,99999
98,4100,cHn21g,4210.122591,3,2,25,2,40,19,55,19,90,23,120,0,99999,0,99999,0,99999,0,99999
99,4110,cHn21x,2205.993093,3,2,25,2,35,20,55,20,70,20,100,24,120,0,99999,0,99999,0,99999
100,4111,cHn21t,958.533503,3,2,25,2,35,19,60,19,75,20,100,32,120,0,99999,0,99999,0,99999
101,9014120,cHn23,3579.362594,3,3,25,3,45,21,60,20,75,20,120,0,99999,0,99999,0,99999,0,99999
102,9024120,cHn23,23966.53086,3,3,25,3,40,21,60,20,75,20,120,0,99999,0,99999,0,99999,0,99999
103,4121,cHn23g,818.7519219,3,3,25,3,45,21,60,20,75,20,105,23,120,0,99999,0,99999,0,99999
104,4130,cHn23x,19279.14608,3,3,25,3,40,21,55,21,85,24,120,0,99999,0,99999,0,99999,0,99999
105,4131,cHn23t,2376.918378,3,3,25,3,40,21,55,21,85,32,120,0,99999,0,99999,0,99999,0,99999
106,4140,Hd21,34912.11636,3,1,8,19,15,19,30,19,50,19,120,0,99999,0,99999,0,99999,0,99999
